=== RAPORT PERFORMANTĂ ALGORITMI SORTARE ===
Data testării: Tue Mar 24 22:55:29 2026
=================================================================

>>> FIȘIER: dim_gigant.txt <<<

>>> FIȘIER: int_sortat.txt <<<

  [CAS: Implicit | N: 1000 | TIP: int]
    Bubble Sort     | Timp:   0.000259s | Memorie:     0.03 KB
    Selection Sort  | Timp:   0.064399s | Memorie:     0.06 KB
    Insertion Sort  | Timp:   0.000208s | Memorie:     0.00 KB
    Shell Sort      | Timp:   0.001283s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.003441s | Memorie:    15.62 KB
    Quick Sort      | Timp:   0.008296s | Memorie:     3.40 KB
    Heap Sort       | Timp:   0.003737s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.033750s | Memorie:   622.52 KB
    Radix Sort      | Timp:   0.002662s | Memorie:     8.06 KB

=================================================================
=== SESIUNE NOUĂ DE TESTARE ===
Data și ora pornirii: 2026-03-28 13:27:52
=================================================================

>>> FIȘIER: dim_gigant.txt <<<

  [CAS: Aleator | N: 100000 | TIP: int]
    Shell Sort      | Timp:   3.956564s | Memorie:     0.14 KB
    Merge Sort      | Timp:   1.567609s | Memorie:  1564.56 KB
    Quick Sort      | Timp:   1.714917s | Memorie:     5.12 KB
    Heap Sort       | Timp:   0.965487s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.479142s | Memorie:  1557.76 KB
    Radix Sort      | Timp:   0.540388s | Memorie:   781.50 KB

  [CAS: Sortat Crescător | N: 100000 | TIP: int]
    Shell Sort      | Timp:   0.419451s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.590447s | Memorie:  1562.59 KB
    Quick Sort      | Timp:   1.146932s | Memorie:     4.27 KB
    Heap Sort       | Timp:   0.724741s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.443727s | Memorie:  1558.10 KB
    Radix Sort      | Timp:   0.379809s | Memorie:   781.50 KB

  [CAS: Sortat Descrescător | N: 100000 | TIP: int]
    Shell Sort      | Timp:   0.505032s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.679881s | Memorie:  1562.59 KB
    Quick Sort      | Timp:   1.296494s | Memorie:     4.87 KB
    Heap Sort       | Timp:   0.702202s | Memorie:     0.00 KB
    Counting Sort   | Timp:   0.345430s | Memorie:  1558.13 KB
    Radix Sort      | Timp:   0.385947s | Memorie:   781.50 KB

  [CAS: Constant (Plat) | N: 100000 | TIP: int]
    Shell Sort      | Timp:   0.315412s | Memorie:     0.00 KB
    Merge Sort      | Timp:   0.663660s | Memorie:  1562.59 KB
    Quick Sort      | Timp:   0.018736s | Memorie:     0.24 KB
